,ruck_num,which_side,shoot_position,time_log,group_num,num_of_groups,lamp_num,num_of_lamps,nor_x,nor_y,nor_r,nor_degree,nor_color,nor_LF,cur_x,cur_y,cur_r,cur_degree,cur_color,cur_LF,result
110,output,R,1,20201119111615,1,2,3,4,1127.0,874.0,0.0,0.0,green,L,1127,873,35.35533905932738,-8.13010235415598,green,L,N
111,output,R,2,20201119111717,0,2,0,4,150.0,568.0,97.02061636580136,1.181188913326638,green,F,150,568,97.02061636580136,1.181188913326638,green,F,N
112,output,R,2,20201119111717,0,2,1,4,247.0,570.0,879.7368924854749,2.3452741199045297,green,F,247,569,97.0051545022222,0.590657214646671,green,L,Error
113,output,R,2,20201119111717,0,2,2,4,1126.0,606.0,34.058772731852805,-3.3664606634298013,green,L,1126,606,879.7783811847163,2.4103448246178734,green,L,N
114,output,R,2,20201119111717,0,2,3,4,1160.0,604.0,0.0,0.0,green,L,1160,604,34.058772731852805,-3.3664606634298013,green,L,N
115,output,R,2,20201119111717,1,2,0,4,186.0,1013.0,90.0222194794152,-1.2730300200567113,green,L,186,1013,90.0222194794152,-1.2730300200567113,green,F,Error
116,output,R,2,20201119111717,1,2,1,4,276.0,1011.0,806.1395660802167,1.0661755483548483,green,L,276,1010,90.0499861188218,-1.9091524329963763,green,F,Error
117,output,R,2,20201119111717,1,2,2,4,1082.0,1026.0,36.345563690772494,-7.907162702958458,green,L,1081,1026,805.1589905105699,1.1386481782612063,green,L,N
118,output,R,2,20201119111717,1,2,3,4,1118.0,1021.0,0.0,0.0,green,L,1118,1021,37.33630940518894,-7.696051722016569,green,L,N
119,output,R,3,20201119111819,0,2,0,4,116.0,240.0,105.17128885774862,3.2704879231835653,green,L,114,239,105.17128885774862,3.2704879231835653,green,L,N
120,output,R,3,20201119111819,0,2,1,4,221.0,246.0,941.7266057619908,3.4700695550401446,green,F,221,246,107.22872749408155,3.7429882956871343,green,F,N
121,output,R,3,20201119111819,0,2,2,4,1161.0,303.0,41.04875150354759,2.792702365713283,green,L,1161,302,941.6666076696147,3.4093360204901466,green,L,N
122,output,R,3,20201119111819,0,2,3,4,1202.0,305.0,0.0,0.0,green,L,1201,304,40.049968789001575,2.8624052261117474,green,L,N
123,output,R,3,20201119111819,1,2,0,5,176.0,738.0,94.00531899844816,-0.6095065766751959,green,F,176,738,94.00531899844816,-0.6095065766751959,green,F,N
124,output,R,3,20201119111819,1,2,1,5,270.0,737.0,83.05419917138447,2.070030653041098,green,F,269,737,93.00537618869137,-0.6160599083992302,green,F,N
125,output,R,3,20201119111819,1,2,2,5,353.0,740.0,760.6733858891081,2.4110297466112307,green,L,353,740,84.0535543567314,2.0454084888872277,green,F,Error
126,output,R,3,20201119111819,1,2,3,5,1113.0,772.0,34.36568055487916,-8.36588612403259,green,L,1113,772,760.6733858891081,2.4110297466112307,green,L,N
127,output,R,3,20201119111819,1,2,4,5,1147.0,767.0,0.0,0.0,green,L,1147,767,34.36568055487916,-8.36588612403259,green,L,N
128,output,R,4,20201119111921,0,1,0,4,155.0,445.0,97.02061636580136,1.181188913326638,green,F,156,445,97.02061636580136,1.181188913326638,green,F,N
129,output,R,4,20201119111921,0,1,1,4,252.0,447.0,899.1774018512698,2.932410031290392,green,F,252,447,96.02083107326243,1.193489423982035,green,L,Error
130,output,R,4,20201119111921,0,1,2,4,1150.0,493.0,36.013886210738214,1.5911402711945872,green,L,1150,493,899.1774018512698,2.9324100312903916,green,L,N
131,output,R,4,20201119111921,0,1,3,4,1186.0,494.0,0.0,0.0,green,L,1186,494,36.013886210738214,1.5911402711945872,green,L,N
